"phecode","ICD","flag"
"ID_097","Z16.33",10
"ID_097","Z16.21",10
"ID_097","V09.80",9
"ID_097","V09.4",9
"ID_097","A49.02",10
"ID_097","Z16.39",10
"ID_097",482.42,9
"ID_097","Z16.3",10
"ID_097","Z16.19",10
"ID_097","V09.7",9
"ID_097","Z16",10
"ID_097","V09.1",9
"ID_097","Z16.34",10
"ID_097","Z16.22",10
"ID_097","V09.81",9
"ID_097","Z16.11",10
"ID_097","V09.5",9
"ID_097","Z86.14",10
"ID_097","Z16.30",10
"ID_097","V09.70",9
"ID_097","Z16.1",10
"ID_097","Z16.341",10
"ID_097","Z16.23",10
"ID_097","V09.9",9
"ID_097","A41.02",10
"ID_097","V09.50",9
"ID_097","041.12",9
"ID_097","V09",9
"ID_097","Z16.31",10
"ID_097","Z16.2",10
"ID_097","V09.71",9
"ID_097","V09.2",9
"ID_097","Z16.342",10
"ID_097","V12.04",9
"ID_097","Z16.24",10
"ID_097","V09.90",9
"ID_097","Z16.12",10
"ID_097","V09.51",9
"ID_097","J15.212",10
"ID_097","V09.0",9
"ID_097","Z16.32",10
"ID_097.1","V12.04",9
"ID_097.1","J15.212",10
"ID_097.1","038.12",9
"ID_097.1","B95.62",10
"ID_097.1","A49.02",10
"ID_097.1",482.42,9
"ID_097.1","Z86.14",10
"ID_097.1","A41.02",10
"ID_097.1","041.12",9
"ID_097.2","V09.0",9
"ID_097.2","Z16.11",10
"ID_097.3","Z16.12",10
"ID_097.3","Z16.10",10
"ID_097.3","Z16.19",10
"ID_097.3","V09.1",9
"ID_097.3","Z16.1",10
"CA_100",146.9,9
"CA_100","Z85.22",10
"CA_100","C00",10
"CA_100","Z85.818",10
"CA_100","C10.3",10
"CA_100","D37.0",10
"CA_100",141.5,9
"CA_100",146.6,9
"CA_100","C10.0",10
"CA_100","D00.03",10
"CA_100",145.3,9
"CA_100",146.3,9
"CA_100","C02.2",10
"CA_100","C03.9",10
"CA_100","C05.1",10
"CA_100","C09.8",10
"CA_100","D37.039",10
"CA_100","D00.00",10
"CA_100",143.8,9
"CA_100",146.0,9
"CA_100","C09",10
"CA_100",140.9,9
"CA_100",145.8,9
"CA_100","Z85.810",10
"CA_100",161.8,9
"CA_100","C08.0",10
"CA_100",140.5,9
"CA_100",141.4,9
"CA_100",142.8,9
"CA_100",161.1,9
"CA_100","C06.9",10
"CA_100","C13.9",10
"CA_100","C32.3",10
"CA_100",140.1,9
"CA_100",142.0,9
"CA_100",145.2,9
"CA_100",148.9,9
"CA_100","C02.1",10
"CA_100","C03.1",10
"CA_100",160.9,9
"CA_100","C05.0",10
"CA_100","C06.8",10
"CA_100","C13.1",10
"CA_100","C32.0",10
"CA_100","D37.031",10
"CA_100","D38.0",10
"CA_100",143.1,9
"CA_100",145,9
"CA_100",148.2,9
"CA_100",160.4,9
"CA_100","C06.0",10
"CA_100","C12",10
"CA_100","C31.8",10
"CA_100","D37.01",10
"CA_100",148,9
"CA_100","C00.8",10
"CA_100",160.1,9
"CA_100","C11.3",10
"CA_100","C14.0",10
"CA_100","C31.1",10
"CA_100","D40.11",10
"CA_100",141.3,9
"CA_100",147.3,9
"CA_100",149.0,9
"CA_100","C00.4",10
"CA_100","C11.0",10
"CA_100","C30.1",10
"CA_100",231.0,9
"CA_100",147.0,9
"CA_100","C00.1",10
"CA_100","C02.0",10
"CA_100","C03.0",10
"CA_100","C05",10
"CA_100","C10.8",10
"CA_100","D37.03",10
"CA_100",143.0,9
"CA_100",144.9,9
"CA_100",146.8,9
"CA_100","Z85.21",10
"CA_100","C10.2",10
"CA_100","C14.8",10
"CA_100",195.0,9
"CA_100",146.5,9
"CA_100",149.8,9
"CA_100","C10",10
"CA_100","D37.09",10
"CA_100","D00.02",10
"CA_100",141.2,9
"CA_100",146.2,9
"CA_100","C09.1",10
"CA_100","D00.08",10
"CA_100",235.6,9
"CA_100",146,9
"CA_100","Z85.819",10
"CA_100","C02",10
"CA_100","C03",10
"CA_100","C04.9",10
"CA_100","C08.9",10
"CA_100",140.8,9
"CA_100",143,9
"CA_100",144.8,9
"CA_100",235.0,9
"CA_100",145.6,9
"CA_100",161.3,9
"CA_100","C08",10
"CA_100","C32.9",10
"CA_100",140.4,9
"CA_100","D02.0",10
"CA_100",142.2,9
"CA_100","V10.02",9
"CA_100",161.0,9
"CA_100","C06.89",10
"CA_100","C13.8",10
"CA_100","C32.2",10
"CA_100","D37.04",10
"CA_100",140.0,9
"CA_100",141.1,9
"CA_100",142,9
"CA_100",145.1,9
"CA_100",148.8,9
"CA_100",160.8,9
"CA_100","C06.2",10
"CA_100","C13.0",10
"CA_100","C32",10
"CA_100","D00.07",10
"CA_100",148.1,9
"CA_100","C01",10
"CA_100","C02.9",10
"CA_100",160.3,9
"CA_100","C04.8",10
"CA_100","C06",10
"CA_100","C11.9",10
"CA_100","C31.3",10
"CA_100",144.1,9
"CA_100",145.5,9
"CA_100",147.9,9
"CA_100","V10.22",9
"CA_100","C00.6",10
"CA_100",160.0,9
"CA_100","C11.2",10
"CA_100","C31.0",10
"CA_100",147.2,9
"CA_100","V10.01",9
"CA_100","C00.3",10
"CA_100","C11",10
"CA_100","C30.0",10
"CA_100","D37.032",10
"CA_100","D00.0",10
"CA_100",230.0,9
"CA_100",141.0,9
"CA_100",141.9,9
"CA_100",147,9
"CA_100","C00.0",10
"CA_100","C10.4",10
"CA_100","D37.02",10
"CA_100","D00.06",10
"CA_100",146.7,9
"CA_100","Z85.81",10
"CA_100","C02.8",10
"CA_100","C04.1",10
"CA_100","C05.9",10
"CA_100","C10.1",10
"CA_100",144.0,9
"CA_100",146.4,9
"CA_100","C09.9",10
"CA_100","D00.01",10
"CA_100",146.1,9
"CA_100","C09.0",10
"CA_100","D37.030",10
"CA_100",141,9
"CA_100",141.8,9
"CA_100",145.9,9
"CA_100",161.9,9
"CA_100","C08.1",10
"CA_100","D37",10
"CA_100","D00.05",10
"CA_100",140.6,9
"CA_100",142.9,9
"CA_100",149.9,9
"CA_100","C02.4",10
"CA_100","C04.0",10
"CA_100",161.2,9
"CA_100","C05.8",10
"CA_100","C07",10
"CA_100","C14",10
"CA_100","C32.8",10
"CA_100",140.3,9
"CA_100",142.1,9
"CA_100",144,9
"CA_100",149,9
"CA_100",161,9
"CA_100","C06.80",10
"CA_100","C13.2",10
"CA_100","C32.1",10
"CA_100",140,9
"CA_100",145.0,9
"CA_100",148.3,9
"CA_100",160.5,9
"CA_100","C06.1",10
"CA_100","C13",10
"CA_100","C31.9",10
"CA_100",141.6,9
"CA_100",235.1,9
"CA_100",148.0,9
"CA_100","C00.9",10
"CA_100",160.2,9
"CA_100","C11.8",10
"CA_100","C14.2",10
"CA_100","C31.2",10
"CA_100","D00.04",10
"CA_100",145.4,9
"CA_100",147.8,9
"CA_100",149.1,9
"CA_100","V10.21",9
"CA_100","C00.5",10
"CA_100","C02.3",10
"CA_100",160,9
"CA_100","C04",10
"CA_100","C05.2",10
"CA_100","C11.1",10
"CA_100","C31",10
"CA_100","D37.05",10
"CA_100",143.9,9
"CA_100",147.1,9
"CA_100","C00.2",10
"CA_100","C10.9",10
"CA_100","C30",10
"CA_100.1",141,9
"CA_100.1",141.8,9
"CA_100.1",145.9,9
"CA_100.1","D00.05",10
"CA_100.1","C02.4",10
"CA_100.1","C04.0",10
"CA_100.1","C05.8",10
"CA_100.1",144,9
"CA_100.1","C06.80",10
"CA_100.1",145.0,9
"CA_100.1","C06.1",10
"CA_100.1",141.6,9
"CA_100.1","D00.04",10
"CA_100.1",145.4,9
"CA_100.1","C02.3",10
"CA_100.1","C04",10
"CA_100.1","C05.2",10
"CA_100.1",143.9,9
"CA_100.1",141.5,9
"CA_100.1","D00.03",10
"CA_100.1",145.3,9
"CA_100.1","C02.2",10
"CA_100.1","C03.9",10
"CA_100.1","C05.1",10
"CA_100.1","D00.00",10
"CA_100.1",143.8,9
"CA_100.1",145.8,9
"CA_100.1","Z85.810",10
"CA_100.1",141.4,9
"CA_100.1","C06.9",10
"CA_100.1",145.2,9
"CA_100.1","C02.1",10
"CA_100.1","C03.1",10
"CA_100.1","C05.0",10
"CA_100.1","C06.8",10
"CA_100.1",143.1,9
"CA_100.1",145,9
"CA_100.1","C06.0",10
"CA_100.1","D40.11",10
"CA_100.1",141.3,9
"CA_100.1","C02.0",10
"CA_100.1","C03.0",10
"CA_100.1","C05",10
"CA_100.1",143.0,9
"CA_100.1",144.9,9
"CA_100.1","D37.09",10
"CA_100.1","D00.02",10
"CA_100.1",141.2,9
"CA_100.1","C02",10
"CA_100.1","C03",10
"CA_100.1","C04.9",10
"CA_100.1",143,9
"CA_100.1",144.8,9
"CA_100.1",145.6,9
"CA_100.1","C06.89",10
"CA_100.1",141.1,9
"CA_100.1",145.1,9
"CA_100.1","C06.2",10
"CA_100.1","D00.07",10
"CA_100.1","C01",10
"CA_100.1","C02.9",10
"CA_100.1","C04.8",10
"CA_100.1","C06",10
"CA_100.1",144.1,9
"CA_100.1",145.5,9
"CA_100.1","V10.01",9
"CA_100.1",141.0,9
"CA_100.1",141.9,9
"CA_100.1","D37.02",10
"CA_100.1","D00.06",10
"CA_100.1","C02.8",10
"CA_100.1","C04.1",10
"CA_100.1","C05.9",10
"CA_100.1",144.0,9
"CA_100.1","D00.01",10
"CA_100.12","D00.07",10
"CA_100.12","C01",10
"CA_100.12","C02.9",10
"CA_100.12","V10.01",9
"CA_100.12",141.0,9
"CA_100.12",141.9,9
"CA_100.12","D37.02",10
"CA_100.12","C02.8",10
"CA_100.12",141,9
"CA_100.12",141.8,9
"CA_100.12","C02.4",10
"CA_100.12",141.6,9
"CA_100.12","C02.3",10
"CA_100.12",141.5,9
"CA_100.12","C02.2",10
"CA_100.12","Z85.810",10
"CA_100.12",141.4,9
"CA_100.12","C02.1",10
"CA_100.12",141.3,9
"CA_100.12","C02.0",10
"CA_100.12",141.2,9
"CA_100.12","C02",10
"CA_100.12",141.1,9
"CA_100.13",143.9,9
"CA_100.13","D00.03",10
"CA_100.13","C03.9",10
"CA_100.13",143.8,9
"CA_100.13","C03.1",10
"CA_100.13",143.1,9
"CA_100.13","C03.0",10
"CA_100.13",143.0,9
"CA_100.13","C03",10
"CA_100.13",143,9
"CA_100.14","C04.8",10
"CA_100.14",144.1,9
"CA_100.14","D00.06",10
"CA_100.14","C04.1",10
"CA_100.14",144.0,9
"CA_100.14","C04.0",10
"CA_100.14",144,9
"CA_100.14","C04",10
"CA_100.14",144.9,9
"CA_100.14","C04.9",10
"CA_100.14",144.8,9
"CA_100.15",145.5,9
"CA_100.15","C05.9",10
"CA_100.15","D00.05",10
"CA_100.15","C05.8",10
"CA_100.15","D00.04",10
"CA_100.15","C05.2",10
"CA_100.15",145.3,9
"CA_100.15","C05.1",10
"CA_100.15",145.2,9
"CA_100.15","C05.0",10
"CA_100.15","D40.11",10
"CA_100.15","C05",10
"CA_100.2","C10.9",10
"CA_100.2",146.9,9
"CA_100.2","C10.3",10
"CA_100.2",146.6,9
"CA_100.2","C10.0",10
"CA_100.2",146.3,9
"CA_100.2","C09.8",10
"CA_100.2",146.0,9
"CA_100.2","C09",10
"CA_100.2","C10.8",10
"CA_100.2",146.8,9
"CA_100.2","C10.2",10
"CA_100.2",146.5,9
"CA_100.2","C10",10
"CA_100.2",146.2,9
"CA_100.2","C09.1",10
"CA_100.2",146,9
"CA_100.2","C10.4",10
"CA_100.2",146.7,9
"CA_100.2","C10.1",10
"CA_100.2",146.4,9
"CA_100.2","C09.9",10
"CA_100.2",146.1,9
"CA_100.2","C09.0",10
"CA_100.3","C11.8",10
"CA_100.3",147.8,9
"CA_100.3","C11.1",10
"CA_100.3",147.1,9
"CA_100.3","C11.3",10
"CA_100.3",147.3,9
"CA_100.3","C11.0",10
"CA_100.3",147.0,9
"CA_100.3","C11.9",10
"CA_100.3",147.9,9
"CA_100.3","C11.2",10
"CA_100.3",147.2,9
"CA_100.3","C11",10
"CA_100.3",147,9
"CA_100.4","C13.2",10
"CA_100.4",148.3,9
"CA_100.4","C13",10
"CA_100.4",148.0,9
"CA_100.4","C13.9",10
"CA_100.4",148.9,9
"CA_100.4","C13.1",10
"CA_100.4",148.2,9
"CA_100.4","C12",10
"CA_100.4",148,9
"CA_100.4","C13.8",10
"CA_100.4",148.8,9
"CA_100.4","C13.0",10
"CA_100.4",148.1,9
"CA_100.5",160.5,9
"CA_100.5","C31.9",10
"CA_100.5",160.2,9
"CA_100.5","C31.2",10
"CA_100.5",160,9
"CA_100.5","C31",10
"CA_100.5","C30",10
"CA_100.5","Z85.22",10
"CA_100.5",160.9,9
"CA_100.5",160.4,9
"CA_100.5","C31.8",10
"CA_100.5",160.1,9
"CA_100.5","C31.1",10
"CA_100.5","C30.1",10
"CA_100.5",160.8,9
"CA_100.5",160.3,9
"CA_100.5","C31.3",10
"CA_100.5","V10.22",9
"CA_100.5",160.0,9
"CA_100.5","C31.0",10
"CA_100.5","C30.0",10
"CA_100.6",161.9,9
"CA_100.6",161.2,9
"CA_100.6","C32.8",10
"CA_100.6",161,9
"CA_100.6","C32.1",10
"CA_100.6","V10.21",9
"CA_100.6",161.8,9
"CA_100.6",161.1,9
"CA_100.6","C32.3",10
"CA_100.6","C32.0",10
"CA_100.6","D38.0",10
"CA_100.6",231.0,9
"CA_100.6","Z85.21",10
"CA_100.6",235.6,9
"CA_100.6",161.3,9
"CA_100.6","C32.9",10
"CA_100.6","D02.0",10
"CA_100.6",161.0,9
"CA_100.6","C32.2",10
"CA_100.6","C32",10
"CA_100.7","D37.05",10
"CA_100.7","C14.0",10
"CA_100.7",149.0,9
"CA_100.7","D00.08",10
"CA_100.8",140.6,9
"CA_100.8",140.3,9
"CA_100.8",140,9
"CA_100.8","C00.9",10
"CA_100.8","C00.5",10
"CA_100.8","C00.2",10
"CA_100.8","C00",10
"CA_100.8",140.9,9
"CA_100.8",140.5,9
"CA_100.8",140.1,9
"CA_100.8","D37.01",10
"CA_100.8","C00.8",10
"CA_100.8","C00.4",10
"CA_100.8","C00.1",10
"CA_100.8",140.8,9
"CA_100.8",140.4,9
"CA_100.8",140.0,9
"CA_100.8","C00.6",10
"CA_100.8","C00.3",10
"CA_100.8","C00.0",10
"CA_100.9","C08.1",10
"CA_100.9",142.9,9
"CA_100.9","C07",10
"CA_100.9",142.1,9
"CA_100.9","D37.039",10
"CA_100.9","C08.0",10
"CA_100.9",142.8,9
"CA_100.9",142.0,9
"CA_100.9","D37.031",10
"CA_100.9","D37.03",10
"CA_100.9","C08.9",10
"CA_100.9",235.0,9
"CA_100.9","C08",10
"CA_100.9",142.2,9
"CA_100.9","D37.04",10
"CA_100.9",142,9
"CA_100.9","D37.032",10
"CA_100.9","D37.030",10
"CA_101",151.3,9
"CA_101",153.4,9
"CA_101","V10.07",9
"CA_101",157,9
"CA_101",154.2,9
"CA_101",156,9
"CA_101",159.8,9
"CA_101","C15.9",10
"CA_101","C18.1",10
"CA_101","D00.1",10
"CA_101",230.1,9
"CA_101","Z85.038",10
"CA_101",153.5,9
"CA_101",155.0,9
"CA_101","C15.4",10
"CA_101","C18",10
"CA_101","D37.6",10
"CA_101",230.7,9
"CA_101",235.2,9
"CA_101","C17.3",10
"CA_101","C24.1",10
"CA_101",151,9
"CA_101",154.1,9
"CA_101","C17.0",10
"CA_101","C18.2",10
"CA_101","C21.8",10
"CA_101","D01.7",10
"CA_101",150.5,9
"CA_101","Z85.04",10
"CA_101",153.6,9
"CA_101","V10.00",9
"CA_101","C16.8",10
"CA_101",230,9
"CA_101","D01.40",10
"CA_101",235.5,9
"CA_101",150.2,9
"CA_101",152.8,9
"CA_101","Z85.068",10
"CA_101","C16.4",10
"CA_101","C22.2",10
"CA_101","C24.9",10
"CA_101","C26",10
"CA_101",230.6,9
"CA_101",150,9
"CA_101","Z85.028",10
"CA_101",152.1,9
"CA_101","V10.05",9
"CA_101",156.2,9
"CA_101",157.9,9
"CA_101","Z86.004",10
"CA_101","C16.1",10
"CA_101","C18.3",10
"CA_101","C25.7",10
"CA_101","D37.2",10
"CA_101",151.9,9
"CA_101",153.7,9
"CA_101",154.0,9
"CA_101",157.4,9
"CA_101","C21.2",10
"CA_101","C25.3",10
"CA_101",151.5,9
"CA_101",157.1,9
"CA_101","C25.0",10
"CA_101",235.3,9
"CA_101",151.2,9
"CA_101","V10.06",9
"CA_101","C18.4",10
"CA_101","C22.1",10
"CA_101",230.5,9
"CA_101","C16.0",10
"CA_101","D01",10
"CA_101",230.3,9
"CA_101","Z85.00",10
"CA_101","C15.8",10
"CA_101","C21.1",10
"CA_101",230.9,9
"CA_101",153.8,9
"CA_101",155,9
"CA_101","C15.3",10
"CA_101","C17.9",10
"CA_101","C18.5",10
"CA_101","D37.5",10
"CA_101","Z85.06",10
"CA_101","C17.2",10
"CA_101","C22.0",10
"CA_101","C24.0",10
"CA_101",230.4,9
"CA_101",150.9,9
"CA_101","Z85.02",10
"CA_101","C17",10
"CA_101","D01.5",10
"CA_101",150.4,9
"CA_101",153,9
"CA_101","Z85.09",10
"CA_101",153.9,9
"CA_101","C16.6",10
"CA_101","C18.6",10
"CA_101","C21.0",10
"CA_101","C26.9",10
"CA_101","D37.8",10
"CA_101","D01.4",10
"CA_101",150.1,9
"CA_101",152.3,9
"CA_101",156.9,9
"CA_101","C16.3",10
"CA_101","C25.9",10
"CA_101","D37.4",10
"CA_101",152.0,9
"CA_101","Z85.05",10
"CA_101","V10.04",9
"CA_101",156.1,9
"CA_101",157.8,9
"CA_101","D01.9",10
"CA_101",151.8,9
"CA_101",153.0,9
"CA_101",154,9
"CA_101",157.3,9
"CA_101","C18.7",10
"CA_101","C25.2",10
"CA_101",151.4,9
"CA_101",157.0,9
"CA_101","C21",10
"CA_101","C25",10
"CA_101","C26.0",10
"CA_101","D01.3",10
"CA_101",151.1,9
"CA_101","D37.3",10
"CA_101",153.1,9
"CA_101",156.0,9
"CA_101","C16",10
"CA_101","C18.8",10
"CA_101","D00.2",10
"CA_101",230.2,9
"CA_101","V10.0",9
"CA_101","C15.5",10
"CA_101","D37.9",10
"CA_101",230.8,9
"CA_101","D49.0",10
"CA_101",154.8,9
"CA_101","C15",10
"CA_101","C17.8",10
"CA_101","C20",10
"CA_101","C24.8",10
"CA_101","D01.2",10
"CA_101",151.0,9
"CA_101",153.2,9
"CA_101","C17.1",10
"CA_101","C18.9",10
"CA_101","C22",10
"CA_101","C24",10
"CA_101","D37.1",10
"CA_101","D01.0",10
"CA_101",150.8,9
"CA_101","Z85.01",10
"CA_101","C16.9",10
"CA_101","C22.8",10
"CA_101","D01.49",10
"CA_101",150.3,9
"CA_101",152.9,9
"CA_101","Z85.07",10
"CA_101","V10.09",9
"CA_101","C16.5",10
"CA_101",150.0,9
"CA_101","Z85.03",10
"CA_101",152.2,9
"CA_101",153.3,9
"CA_101",154.3,9
"CA_101",156.8,9
"CA_101","C16.2",10
"CA_101","C19",10
"CA_101","C25.8",10
"CA_101","D01.1",10
"CA_101",152,9
"CA_101","Z85.048",10
"CA_101","V10.03",9
"CA_101","C23",10
"CA_101","C25.4",10
"CA_101",239.0,9
"CA_101","Z85.0",10
"CA_101",151.6,9
"CA_101",155.1,9
"CA_101",157.2,9
"CA_101",159.0,9
"CA_101","C18.0",10
"CA_101","C22.7",10
"CA_101","C25.1",10
"CA_101.1","C15",10
"CA_101.1",150.8,9
"CA_101.1","Z85.01",10
"CA_101.1",150.3,9
"CA_101.1",150.0,9
"CA_101.1","V10.03",9
"CA_101.1","C15.9",10
"CA_101.1","D00.1",10
"CA_101.1",230.1,9
"CA_101.1","C15.4",10
"CA_101.1",150.5,9
"CA_101.1",150.2,9
"CA_101.1",150,9
"CA_101.1","C15.8",10
"CA_101.1","C15.3",10
"CA_101.1",150.9,9
"CA_101.1",150.4,9
"CA_101.1",150.1,9
"CA_101.1","C15.5",10
"CA_101.2",151.0,9
"CA_101.2","D37.1",10
"CA_101.2","C16.9",10
"CA_101.2","C16.5",10
"CA_101.2","C16.2",10
"CA_101.2",151.6,9
"CA_101.2",151.3,9
"CA_101.2",151,9
"CA_101.2","C16.8",10
"CA_101.2","C16.4",10
"CA_101.2","Z85.028",10
"CA_101.2","C16.1",10
"CA_101.2",151.9,9
"CA_101.2",151.5,9
"CA_101.2",151.2,9
"CA_101.2","C16.0",10
"CA_101.2","Z85.02",10
"CA_101.2","C16.6",10
"CA_101.2","C16.3",10
"CA_101.2","V10.04",9
"CA_101.2",151.8,9
"CA_101.2",151.4,9
"CA_101.2",151.1,9
"CA_101.2","C16",10
"CA_101.2","D00.2",10
"CA_101.2",230.2,9
"CA_101.21",151.0,9
"CA_101.21","C16.0",10
"CA_101.3","C17.8",10
"CA_101.3","C17.1",10
"CA_101.3","D01.49",10
"CA_101.3",152.9,9
"CA_101.3",152.2,9
"CA_101.3",152,9
"CA_101.3",230.7,9
"CA_101.3","C17.3",10
"CA_101.3","C17.0",10
"CA_101.3","D01.40",10
"CA_101.3",152.8,9
"CA_101.3","Z85.068",10
"CA_101.3",152.1,9
"CA_101.3","D37.2",10
"CA_101.3","C17.9",10
"CA_101.3","Z85.06",10
"CA_101.3","C17.2",10
"CA_101.3","C17",10
"CA_101.3","D01.4",10
"CA_101.3",152.3,9
"CA_101.3",152.0,9
"CA_101.4",154.8,9
"CA_101.4","C20",10
"CA_101.4","D01.2",10
"CA_101.4",153.2,9
"CA_101.4","C18.9",10
"CA_101.4","D01.0",10
"CA_101.4","Z85.03",10
"CA_101.4",153.3,9
"CA_101.4",154.3,9
"CA_101.4","C19",10
"CA_101.4","D01.1",10
"CA_101.4","Z85.048",10
"CA_101.4",159.0,9
"CA_101.4","C18.0",10
"CA_101.4",153.4,9
"CA_101.4",154.2,9
"CA_101.4","C18.1",10
"CA_101.4","Z85.038",10
"CA_101.4",153.5,9
"CA_101.4","C18",10
"CA_101.4",154.1,9
"CA_101.4","C18.2",10
"CA_101.4","C21.8",10
"CA_101.4","Z85.04",10
"CA_101.4",153.6,9
"CA_101.4",230.6,9
"CA_101.4","V10.05",9
"CA_101.4","C18.3",10
"CA_101.4",154.0,9
"CA_101.4","C21.2",10
"CA_101.4",153.7,9
"CA_101.4","V10.06",9
"CA_101.4","C18.4",10
"CA_101.4",230.5,9
"CA_101.4",230.3,9
"CA_101.4","C21.1",10
"CA_101.4",153.8,9
"CA_101.4","C18.5",10
"CA_101.4","D37.5",10
"CA_101.4",230.4,9
"CA_101.4",153,9
"CA_101.4",153.9,9
"CA_101.4","C18.6",10
"CA_101.4","C21.0",10
"CA_101.4","D37.4",10
"CA_101.4",153.0,9
"CA_101.4",154,9
"CA_101.4","C18.7",10
"CA_101.4","C21",10
"CA_101.4","D01.3",10
"CA_101.4","D37.3",10
"CA_101.4",153.1,9
"CA_101.4","C18.8",10
"CA_101.41","D37.4",10
"CA_101.41",153.0,9
"CA_101.41","C18.7",10
"CA_101.41","D37.3",10
"CA_101.41",153.1,9
"CA_101.41","C18.8",10
"CA_101.41","C20",10
"CA_101.41","D01.2",10
"CA_101.41",153.2,9
"CA_101.41","C18.9",10
"CA_101.41","D01.0",10
"CA_101.41","Z85.03",10
"CA_101.41",153.3,9
"CA_101.41","C19",10
"CA_101.41","D01.1",10
"CA_101.41","C18.0",10
"CA_101.41",153.4,9
"CA_101.41","C18.1",10
"CA_101.41","Z85.038",10
"CA_101.41",153.5,9
"CA_101.41","C18",10
"CA_101.41",154.1,9
"CA_101.41","C18.2",10
"CA_101.41",153.6,9
"CA_101.41","V10.05",9
"CA_101.41","C18.3",10
"CA_101.41",154.0,9
"CA_101.41",153.7,9
"CA_101.41","C18.4",10
"CA_101.41",230.3,9
"CA_101.41",153.8,9
"CA_101.41","C18.5",10
"CA_101.41","D37.5",10
"CA_101.41",230.4,9
"CA_101.41",153,9
"CA_101.41",153.9,9
"CA_101.41","C18.6",10
"CA_101.411",153.7,9
"CA_101.411","C18.4",10
"CA_101.411",230.3,9
"CA_101.411",153.8,9
"CA_101.411","C18.5",10
"CA_101.411",153,9
"CA_101.411",153.9,9
"CA_101.411","C18.6",10
"CA_101.411","D37.4",10
"CA_101.411",153.0,9
"CA_101.411","C18.7",10
"CA_101.411",153.1,9
"CA_101.411","C18.8",10
"CA_101.411",153.2,9
"CA_101.411","C18.9",10
"CA_101.411","D01.0",10
"CA_101.411","Z85.03",10
"CA_101.411",153.3,9
"CA_101.411","C18.0",10
"CA_101.411",153.4,9
"CA_101.411","Z85.038",10
"CA_101.411","C18.2",10
"CA_101.411",153.6,9
"CA_101.411","V10.05",9
"CA_101.411","C18.3",10
"CA_101.412","D37.3",10
"CA_101.412","C18.1",10
"CA_101.412",153.5,9
"CA_101.42","C21",10
"CA_101.42","D01.3",10
"CA_101.42",154.3,9
"CA_101.42",154.2,9
"CA_101.42",230.6,9
"CA_101.42","C21.2",10
"CA_101.42",230.5,9
"CA_101.42","C21.1",10
"CA_101.42","C21.0",10
"CA_101.6",230.8,9
"CA_101.6","C22",10
"CA_101.6","C22.8",10
"CA_101.6",155.1,9
"CA_101.6","C22.7",10
"CA_101.6","V10.07",9
"CA_101.6",155.0,9
"CA_101.6","D37.6",10
"CA_101.6","C22.2",10
"CA_101.6",235.3,9
"CA_101.6","C22.1",10
"CA_101.6",155,9
"CA_101.6","C22.0",10
"CA_101.6","D01.5",10
"CA_101.6","Z85.05",10
"CA_101.61","Z85.05",10
"CA_101.61","C22.8",10
"CA_101.61","C22.7",10
"CA_101.61","V10.07",9
"CA_101.61",155.0,9
"CA_101.61","C22.2",10
"CA_101.61","C22.0",10
"CA_101.62",155.1,9
"CA_101.62","C22.1",10
"CA_101.7","C24",10
"CA_101.7",156.8,9
"CA_101.7","C23",10
"CA_101.7",156,9
"CA_101.7","C24.1",10
"CA_101.7",156.2,9
"CA_101.7","C24.0",10
"CA_101.7",156.1,9
"CA_101.7",156.0,9
"CA_101.71",156.0,9
"CA_101.71","C23",10
"CA_101.8","Z85.07",10
"CA_101.8","C25.8",10
"CA_101.8","C25.4",10
"CA_101.8",157.2,9
"CA_101.8","C25.1",10
"CA_101.8",157,9
"CA_101.8",157.9,9
"CA_101.8","C25.7",10
"CA_101.8",157.4,9
"CA_101.8","C25.3",10
"CA_101.8",157.1,9
"CA_101.8","C25.0",10
"CA_101.8","C25.9",10
"CA_101.8",157.8,9
"CA_101.8",157.3,9
"CA_101.8","C25.2",10
"CA_101.8",157.0,9
"CA_101.8","C25",10
"CA_102","D49.1",10
"CA_102","C34.30",10
"CA_102",162.9,9
"CA_102","C34.12",10
"CA_102","D38.5",10
"CA_102","V10.2",9
"CA_102",162.4,9
"CA_102",164,9
"CA_102","C34.1",10
"CA_102","D38.2",10
"CA_102",235.8,9
"CA_102",162.0,9
"CA_102",164.9,9
"CA_102","C34.00",10
"CA_102","C38",10
"CA_102","D02.21",10
"CA_102","C33",10
"CA_102","C38.8",10
"CA_102","D02.1",10
"CA_102","Z85.118",10
"CA_102",239.1,9
"CA_102",163.9,9
"CA_102",164.8,9
"CA_102","C37",10
"CA_102","C39.0",10
"CA_102","V10.29",9
"CA_102","C34.90",10
"CA_102","D38.6",10
"CA_102","C38.4",10
"CA_102",231.8,9
"CA_102",165.9,9
"CA_102","C34.81",10
"CA_102",235.9,9
"CA_102","V10.1",9
"CA_102",163.8,9
"CA_102","C34.32",10
"CA_102",164.3,9
"CA_102","C34.3",10
"CA_102",162.8,9
"CA_102","C34.11",10
"CA_102","D38.4",10
"CA_102","C38.3",10
"CA_102","Z85.11",10
"CA_102","V10.12",9
"CA_102",162.3,9
"CA_102",165.0,9
"CA_102","C34.02",10
"CA_102","D02.3",10
"CA_102",162,9
"CA_102",163.1,9
"CA_102","C34.0",10
"CA_102","D02.20",10
"CA_102","Z85.2",10
"CA_102",164.2,9
"CA_102","Z85.29",10
